,producto,link,nombre_prod,Q,precio,anadir,precio_medida,medida,medida_rel,q_medida,medida_
5910,"Preparado para rebozar Harinera del Mar sin huevo y tempura
Paquete 1 kg
1.45 € /ud.
Anadir al carro",https://tienda.mercadona.es/categories/69,Preparado para rebozar Harinera del Mar sin huevo y tempura,Paquete 1 kg,1.45 € /ud.,Anadir al carro,1.45,ud.,1 kg,1,kg
5911,"Harina fina de maiz Hacendado
Paquete 400 g
0.70 € /ud.
Anadir al carro",https://tienda.mercadona.es/categories/69,Harina fina de maiz Hacendado,Paquete 400 g,0.70 € /ud.,Anadir al carro,0.70,ud.,400 g,400,g
5912,"Harina integral de trigo Aragonesa
Paquete 1 kg
0.80 € /ud.
Anadir al carro",https://tienda.mercadona.es/categories/69,Harina integral de trigo Aragonesa,Paquete 1 kg,0.80 € /ud.,Anadir al carro,0.80,ud.,1 kg,1,kg
5913,"Preparado para pizzas Hacendado
Paquete 500 g
0.65 € /ud.
Anadir al carro",https://tienda.mercadona.es/categories/69,Preparado para pizzas Hacendado,Paquete 500 g,0.65 € /ud.,Anadir al carro,0.65,ud.,500 g,500,g
5914,"Harina de espelta Hacendado 100% integral
Paquete 1 kg
1.45 € /ud.
Anadir al carro",https://tienda.mercadona.es/categories/69,Harina de espelta Hacendado 100% integral,Paquete 1 kg,1.45 € /ud.,Anadir al carro,1.45,ud.,1 kg,1,kg
5915,"Harina para fritos Nurture
Paquete 1 kg
0.80 € /ud.
Anadir al carro",https://tienda.mercadona.es/categories/69,Harina para fritos Nurture,Paquete 1 kg,0.80 € /ud.,Anadir al carro,0.80,ud.,1 kg,1,kg
5916,"Harina de arroz Hacendado
Paquete 500 g
0.95 € /ud.
Anadir al carro",https://tienda.mercadona.es/categories/69,Harina de arroz Hacendado,Paquete 500 g,0.95 € /ud.,Anadir al carro,0.95,ud.,500 g,500,g
5917,"Harina de almortas de la Mancha
Paquete 500 g
1.35 € /ud.
Anadir al carro",https://tienda.mercadona.es/categories/69,Harina de almortas de la Mancha,Paquete 500 g,1.35 € /ud.,Anadir al carro,1.35,ud.,500 g,500,g
5918,"Preparado panificable Hacendado sin gluten
Paquete 820 g
2.20 € /ud.
Anadir al carro",https://tienda.mercadona.es/categories/69,Preparado panificable Hacendado sin gluten,Paquete 820 g,2.20 € /ud.,Anadir al carro,2.20,ud.,820 g,820,g
5919,"Preparado para bizcocho bolo sin gluten Hacendado
Paquete 375 g
2.20 € /ud.
Anadir al carro",https://tienda.mercadona.es/categories/69,Preparado para bizcocho bolo sin gluten Hacendado,Paquete 375 g,2.20 € /ud.,Anadir al carro,2.20,ud.,375 g,375,g
5920,"Harina de centeno integral Hacendado
Paquete 500 g
1.00 € /ud.
Anadir al carro",https://tienda.mercadona.es/categories/69,Harina de centeno integral Hacendado,Paquete 500 g,1.00 € /ud.,Anadir al carro,1.00,ud.,500 g,500,g
5921,"Harina de garbanzo Hacendado
Paquete 500 g
1.20 € /ud.
Anadir al carro",https://tienda.mercadona.es/categories/69,Harina de garbanzo Hacendado,Paquete 500 g,1.20 € /ud.,Anadir al carro,1.20,ud.,500 g,500,g
5922,"Chocolate negro Hacendado fundir
Tableta 200 g
0.90 € /ud.
Anadir al carro",https://tienda.mercadona.es/categories/69,Chocolate negro Hacendado fundir,Tableta 200 g,0.90 € /ud.,Anadir al carro,0.90,ud.,200 g,200,g
5923,"Levadura en polvo Royal
Caja 5 sobres (80 g)
1.85 € /ud.
Anadir al carro",https://tienda.mercadona.es/categories/69,Levadura en polvo Royal,Caja 5 sobres (80 g),1.85 € /ud.,Anadir al carro,1.85,ud.,5 sobres,5,sobres
5924,"Levadura en polvo Hacendado
Caja 6 sobres (90 g)
0.50 € /ud.
Anadir al carro",https://tienda.mercadona.es/categories/69,Levadura en polvo Hacendado,Caja 6 sobres (90 g),0.50 € /ud.,Anadir al carro,0.50,ud.,6 sobres,6,sobres
5925,"Gasificante reposteria casera Hacendado
Caja 8 sobres (44 g)
0.49 € /ud.
Anadir al carro",https://tienda.mercadona.es/categories/69,Gasificante reposteria casera Hacendado,Caja 8 sobres (44 g),0.49 € /ud.,Anadir al carro,0.49,ud.,8 sobres,8,sobres
5926,"Gelatina neutra en laminas Hacendado
Paquete 12 laminas (20 g)
0.99 € /ud.
Anadir al carro",https://tienda.mercadona.es/categories/69,Gelatina neutra en laminas Hacendado,Paquete 12 laminas (20 g),0.99 € /ud.,Anadir al carro,0.99,ud.,12 laminas,12,laminas
5927,"Preparado en polvo cuajada azucarada Royal sabor lacteo
Caja 4 sobres (48 g)
1.13 € /ud.
Anadir al carro",https://tienda.mercadona.es/categories/69,Preparado en polvo cuajada azucarada Royal sabor lacteo,Caja 4 sobres (48 g),1.13 € /ud.,Anadir al carro,1.13,ud.,4 sobres,4,sobres
5928,"Preparado en polvo flan Royal
Caja 186 g
1.40 € /ud.
Anadir al carro",https://tienda.mercadona.es/categories/69,Preparado en polvo flan Royal,Caja 186 g,1.40 € /ud.,Anadir al carro,1.40,ud.,186 g,186,g
5929,"Gotas de chocolate negro para fundir Hacendado
Paquete 250 g
1.50 € /ud.
Anadir al carro",https://tienda.mercadona.es/categories/69,Gotas de chocolate negro para fundir Hacendado,Paquete 250 g,1.50 € /ud.,Anadir al carro,1.50,ud.,250 g,250,g
5930,"Preparado en polvo flan Hacendado
Caja 190 g
0.85 € /ud.
Anadir al carro",https://tienda.mercadona.es/categories/69,Preparado en polvo flan Hacendado,Caja 190 g,0.85 € /ud.,Anadir al carro,0.85,ud.,190 g,190,g
5931,"Chocolate blanco Hacendado fundir
Tableta 200 g
1.30 € /ud.
Anadir al carro",https://tienda.mercadona.es/categories/69,Chocolate blanco Hacendado fundir,Tableta 200 g,1.30 € /ud.,Anadir al carro,1.30,ud.,200 g,200,g
5932,"Preparado en polvo flanes y natillas Maizena Potax
Caja 6 sobres (192 g)
1.00 € /ud.
Anadir al carro",https://tienda.mercadona.es/categories/69,Preparado en polvo flanes y natillas Maizena Potax,Caja 6 sobres (192 g),1.00 € /ud.,Anadir al carro,1.00,ud.,6 sobres,6,sobres
5933,"Base de tarta Hacendado
Caja 350 g
2.50 € /ud.
Anadir al carro",https://tienda.mercadona.es/categories/69,Base de tarta Hacendado,Caja 350 g,2.50 € /ud.,Anadir al carro,2.50,ud.,350 g,350,g
5934,"Aroma de vainilla Hacendado
Bote 150 ml
2.10 € /ud.
Anadir al carro",https://tienda.mercadona.es/categories/69,Aroma de vainilla Hacendado,Bote 150 ml,2.10 € /ud.,Anadir al carro,2.10,ud.,150 ml,150,ml
5935,"Preparado en polvo natillas Hacendado
Caja 89 g
0.85 € /ud.
Anadir al carro",https://tienda.mercadona.es/categories/69,Preparado en polvo natillas Hacendado,Caja 89 g,0.85 € /ud.,Anadir al carro,0.85,ud.,89 g,89,g
5936,"Preparado en polvo gelatina pina Hacendado
Caja 2 sobres (170 g)
1.05 € /ud.
Anadir al carro",https://tienda.mercadona.es/categories/69,Preparado en polvo gelatina pina Hacendado,Caja 2 sobres (170 g),1.05 € /ud.,Anadir al carro,1.05,ud.,2 sobres,2,sobres
5937,"Preparado en polvo para crepes Hacendado
Bote 200 g
1.40 € /ud.
Anadir al carro",https://tienda.mercadona.es/categories/69,Preparado en polvo para crepes Hacendado,Bote 200 g,1.40 € /ud.,Anadir al carro,1.40,ud.,200 g,200,g
5938,"Preparado en polvo gelatina fresa Hacendado
Caja 2 sobres (170 g)
1.05 € /ud.
Anadir al carro",https://tienda.mercadona.es/categories/69,Preparado en polvo gelatina fresa Hacendado,Caja 2 sobres (170 g),1.05 € /ud.,Anadir al carro,1.05,ud.,2 sobres,2,sobres
5939,"Preparado gelatina maracuya Hacendado
Caja 2 sobres (170 g)
1.05 € /ud.
Anadir al carro",https://tienda.mercadona.es/categories/69,Preparado gelatina maracuya Hacendado,Caja 2 sobres (170 g),1.05 € /ud.,Anadir al carro,1.05,ud.,2 sobres,2,sobres
5940,"Preparado en polvo gelatina fresa Hacendado 0% azucar
Caja 1 sobre (26 g)
1.19 € /ud.
Anadir al carro",https://tienda.mercadona.es/categories/69,Preparado en polvo gelatina fresa Hacendado 0% azucar,Caja 1 sobre (26 g),1.19 € /ud.,Anadir al carro,1.19,ud.,1 sobre,1,sobre
5941,"Preparado en polvo gelatina arandano Hacendado 0% azucar
Caja 1 sobre (31 g)
1.19 € /ud.
Anadir al carro",https://tienda.mercadona.es/categories/69,Preparado en polvo gelatina arandano Hacendado 0% azucar,Caja 1 sobre (31 g),1.19 € /ud.,Anadir al carro,1.19,ud.,1 sobre,1,sobre
5942,"Aroma agua de azahar Hacendado
Bote 150 ml
1.80 € /ud.
Anadir al carro",https://tienda.mercadona.es/categories/69,Aroma agua de azahar Hacendado,Bote 150 ml,1.80 € /ud.,Anadir al carro,1.80,ud.,150 ml,150,ml
5943,"Agar en polvo gelificante 100% vegetal Hacendado
Caja 4 sobres (8 g)
1.95 € /ud.
Anadir al carro",https://tienda.mercadona.es/categories/69,Agar en polvo gelificante 100% vegetal Hacendado,Caja 4 sobres (8 g),1.95 € /ud.,Anadir al carro,1.95,ud.,4 sobres,4,sobres
5944,"Chocolate negro Hacendado fundir 0% azucares anadidos
Tableta 200 g
1.50 € /ud.
Anadir al carro",https://tienda.mercadona.es/categories/69,Chocolate negro Hacendado fundir 0% azucares anadidos,Tableta 200 g,1.50 € /ud.,Anadir al carro,1.50,ud.,200 g,200,g
5945,"Chocolate con leche Hacendado fundir
Tableta 200 g
1.10 € /ud.
Anadir al carro",https://tienda.mercadona.es/categories/69,Chocolate con leche Hacendado fundir,Tableta 200 g,1.10 € /ud.,Anadir al carro,1.10,ud.,200 g,200,g
5946,"Preparado gelatina limon Hacendado
Caja 2 sobres (170 g)
1.05 € /ud.
Anadir al carro",https://tienda.mercadona.es/categories/69,Preparado gelatina limon Hacendado,Caja 2 sobres (170 g),1.05 € /ud.,Anadir al carro,1.05,ud.,2 sobres,2,sobres
5947,"Levadura de panaderia Hacendado
Paquete 10 sobres (70 g)
1.40 € /ud.
Anadir al carro",https://tienda.mercadona.es/categories/69,Levadura de panaderia Hacendado,Paquete 10 sobres (70 g),1.40 € /ud.,Anadir al carro,1.40,ud.,10 sobres,10,sobres
5948,"Preparado en polvo crema pastelera Hacendado
Caja 2 sobres (174 g)
2.00 € /ud.
Anadir al carro",https://tienda.mercadona.es/categories/69,Preparado en polvo crema pastelera Hacendado,Caja 2 sobres (174 g),2.00 € /ud.,Anadir al carro,2.00,ud.,2 sobres,2,sobres
5949,"Masa de hojaldre sin gluten Hacendado
Paquete 280 g
2.40 € /ud.
Anadir al carro",https://tienda.mercadona.es/categories/69,Masa de hojaldre sin gluten Hacendado,Paquete 280 g,2.40 € /ud.,Anadir al carro,2.40,ud.,280 g,280,g
5950,"Masa fresca hojaldre Hacendado
2 paquetes x 260 g
2.25 € /pack
Anadir al carro",https://tienda.mercadona.es/categories/69,Masa fresca hojaldre Hacendado,2 paquetes x 260 g,2.25 € /pack,Anadir al carro,2.25,pack,2 paquetes,2,paquetes
5951,"Masa para empanadillas y postres Buitoni
Paquete 16 obleas (160 g)
0.89 € /ud.
Anadir al carro",https://tienda.mercadona.es/categories/69,Masa para empanadillas y postres Buitoni,Paquete 16 obleas (160 g),0.89 € /ud.,Anadir al carro,0.89,ud.,16 obleas,16,obleas
5952,"Masa fresca Hacendado hojaldre con mantequilla
2 paquetes x 260 g
2.38 € /pack
Anadir al carro",https://tienda.mercadona.es/categories/69,Masa fresca Hacendado hojaldre con mantequilla,2 paquetes x 260 g,2.38 € /pack,Anadir al carro,2.38,pack,2 paquetes,2,paquetes
5953,"Masa fresca quebrada brisa Hacendado
2 paquetes x 230 g
2.38 € /pack
Anadir al carro",https://tienda.mercadona.es/categories/69,Masa fresca quebrada brisa Hacendado,2 paquetes x 230 g,2.38 € /pack,Anadir al carro,2.38,pack,2 paquetes,2,paquetes
5954,"Masa fresca empanada Hacendado
2 paquetes x 230 g
2.38 € /pack
Anadir al carro",https://tienda.mercadona.es/categories/69,Masa fresca empanada Hacendado,2 paquetes x 230 g,2.38 € /pack,Anadir al carro,2.38,pack,2 paquetes,2,paquetes
5955,"Masa filo Hacendado
Paquete 250 g
1.80 € /ud.
Anadir al carro",https://tienda.mercadona.es/categories/69,Masa filo Hacendado,Paquete 250 g,1.80 € /ud.,Anadir al carro,1.80,ud.,250 g,250,g
5956,"3 Barras de pan
3 ud. (750 g)
1.10 € /ud.
Anadir al carro",https://tienda.mercadona.es/categories/59,3 Barras de pan,3 ud. (750 g),1.10 € /ud.,Anadir al carro,1.10,ud.,3 ud.,3,ud.
5957,"Barra de pan
1 ud. (250 g)
0.45 € /ud.
Anadir al carro",https://tienda.mercadona.es/categories/59,Barra de pan,1 ud. (250 g),0.45 € /ud.,Anadir al carro,0.45,ud.,1 ud.,1,ud.
5958,"3 Barras de pan aceite de oliva
3 ud. (600 g)
1.30 € /ud.
Anadir al carro",https://tienda.mercadona.es/categories/59,3 Barras de pan aceite de oliva,3 ud. (600 g),1.30 € /ud.,Anadir al carro,1.30,ud.,3 ud.,3,ud.
5959,"Barra pan de aceite de oliva
1 ud. (200 g)
0.44 € /ud.
Anadir al carro",https://tienda.mercadona.es/categories/59,Barra pan de aceite de oliva,1 ud. (200 g),0.44 € /ud.,Anadir al carro,0.44,ud.,1 ud.,1,ud.
5960,"Barra pan de pueblo
1 ud. (800 g)
1.15 € /ud.
Anadir al carro",https://tienda.mercadona.es/categories/59,Barra pan de pueblo,1 ud. (800 g),1.15 € /ud.,Anadir al carro,1.15,ud.,1 ud.,1,ud.
5961,"Barra de pan 41% integral
1 ud. (210 g)
0.43 € /ud.
Anadir al carro",https://tienda.mercadona.es/categories/59,Barra de pan 41% integral,1 ud. (210 g),0.43 € /ud.,Anadir al carro,0.43,ud.,1 ud.,1,ud.
5962,"Barra de pan rustica
1 ud. (250 g)
0.45 € /ud.
Anadir al carro",https://tienda.mercadona.es/categories/59,Barra de pan rustica,1 ud. (250 g),0.45 € /ud.,Anadir al carro,0.45,ud.,1 ud.,1,ud.
5963,"3 Baguettes masa madre
3 ud. (700 g)
1.15 € /ud.
Anadir al carro",https://tienda.mercadona.es/categories/59,3 Baguettes masa madre,3 ud. (700 g),1.15 € /ud.,Anadir al carro,1.15,ud.,3 ud.,3,ud.
5964,"Baguette masa madre
1 ud. (250 g)
0.40 € /ud.
Anadir al carro",https://tienda.mercadona.es/categories/59,Baguette masa madre,1 ud. (250 g),0.40 € /ud.,Anadir al carro,0.40,ud.,1 ud.,1,ud.
5965,"Barra de pan campesina masa madre
1 ud. (250 g)
0.55 € /ud.
Anadir al carro",https://tienda.mercadona.es/categories/59,Barra de pan campesina masa madre,1 ud. (250 g),0.55 € /ud.,Anadir al carro,0.55,ud.,1 ud.,1,ud.
5966,"Barra de pan sin sal anadida
1 ud. (210 g)
0.53 € /ud.
Anadir al carro",https://tienda.mercadona.es/categories/59,Barra de pan sin sal anadida,1 ud. (210 g),0.53 € /ud.,Anadir al carro,0.53,ud.,1 ud.,1,ud.
5967,"2 Baguettes para hornear Hacendado
Paquete 2 ud. (300 g)
0.75 € /ud.
Anadir al carro",https://tienda.mercadona.es/categories/59,2 Baguettes para hornear Hacendado,Paquete 2 ud. (300 g),0.75 € /ud.,Anadir al carro,0.75,ud.,2 ud.,2,ud.
5968,"Baguette sin gluten
Paquete 175 g
1.55 € /ud.
Anadir al carro",https://tienda.mercadona.es/categories/59,Baguette sin gluten,Paquete 175 g,1.55 € /ud.,Anadir al carro,1.55,ud.,175 g,175,g
5969,"Barra de pan picos
1 ud. (400 g)
0.77 € /ud.
Anadir al carro",https://tienda.mercadona.es/categories/59,Barra de pan picos,1 ud. (400 g),0.77 € /ud.,Anadir al carro,0.77,ud.,1 ud.,1,ud.
5970,"Barra de pan chapata
1 ud. (400 g)
1.00 € /ud.
Anadir al carro",https://tienda.mercadona.es/categories/59,Barra de pan chapata,1 ud. (400 g),1.00 € /ud.,Anadir al carro,1.00,ud.,1 ud.,1,ud.
5971,"Pan de trigo espelta 100%
1 ud. (270 g)
1.25 € /ud.
Anadir al carro",https://tienda.mercadona.es/categories/59,Pan de trigo espelta 100%,1 ud. (270 g),1.25 € /ud.,Anadir al carro,1.25,ud.,1 ud.,1,ud.
5972,"Pan de nueces 8.5%
1 ud. (350 g)
1.50 € /ud.
Anadir al carro",https://tienda.mercadona.es/categories/59,Pan de nueces 8.5%,1 ud. (350 g),1.50 € /ud.,Anadir al carro,1.50,ud.,1 ud.,1,ud.
5973,"Pan mono
1 ud. (500 g)
1.35 € /ud.
Anadir al carro",https://tienda.mercadona.es/categories/59,Pan mono,1 ud. (500 g),1.35 € /ud.,Anadir al carro,1.35,ud.,1 ud.,1,ud.
5974,"Pan bregado
1 ud. (500 g)
1.50 € /ud.
Anadir al carro",https://tienda.mercadona.es/categories/59,Pan bregado,1 ud. (500 g),1.50 € /ud.,Anadir al carro,1.50,ud.,1 ud.,1,ud.
5975,"Pan campeon del mundo
1 ud. (750 g)
1.89 € /ud.
Anadir al carro",https://tienda.mercadona.es/categories/59,Pan campeon del mundo,1 ud. (750 g),1.89 € /ud.,Anadir al carro,1.89,ud.,1 ud.,1,ud.
5976,"Pan integral 100%
1 ud. (350 g)
1.60 € /ud.
Anadir al carro",https://tienda.mercadona.es/categories/59,Pan integral 100%,1 ud. (350 g),1.60 € /ud.,Anadir al carro,1.60,ud.,1 ud.,1,ud.
5977,"Pan Broa de maiz 24%
1 ud. (500 g)
1.40 € /ud.
Anadir al carro",https://tienda.mercadona.es/categories/59,Pan Broa de maiz 24%,1 ud. (500 g),1.40 € /ud.,Anadir al carro,1.40,ud.,1 ud.,1,ud.
5978,"Pan con semillas 12.5%
1 ud. (360 g)
1.50 € /ud.
Anadir al carro",https://tienda.mercadona.es/categories/59,Pan con semillas 12.5%,1 ud. (360 g),1.50 € /ud.,Anadir al carro,1.50,ud.,1 ud.,1,ud.
5979,"Hogaza de centeno 50%
1 ud. (500 g)
1.50 € /ud.
Anadir al carro",https://tienda.mercadona.es/categories/59,Hogaza de centeno 50%,1 ud. (500 g),1.50 € /ud.,Anadir al carro,1.50,ud.,1 ud.,1,ud.
5980,"Pan de pistacho 6% y frutos rojos 6%
1 ud. (200 g)
1.99 € /ud.
Anadir al carro",https://tienda.mercadona.es/categories/59,Pan de pistacho 6% y frutos rojos 6%,1 ud. (200 g),1.99 € /ud.,Anadir al carro,1.99,ud.,1 ud.,1,ud.
5981,"5 Bocadillos
5 ud. x 140 g
1.00 € /pack
Anadir al carro",https://tienda.mercadona.es/categories/59,5 Bocadillos,5 ud. x 140 g,1.00 € /pack,Anadir al carro,1.00,pack,5 ud.,5,ud.
5982,"Bocadillo
1 ud. (140 g)
0.20 € /ud.
Anadir al carro",https://tienda.mercadona.es/categories/59,Bocadillo,1 ud. (140 g),0.20 € /ud.,Anadir al carro,0.20,ud.,1 ud.,1,ud.
5983,"Pan de cristal redondo
1 ud. (78 g)
0.35 € /ud.
Anadir al carro",https://tienda.mercadona.es/categories/59,Pan de cristal redondo,1 ud. (78 g),0.35 € /ud.,Anadir al carro,0.35,ud.,1 ud.,1,ud.
5984,"Panecillo de queso 18%
1 ud. (80 g)
0.35 € /ud.
Anadir al carro",https://tienda.mercadona.es/categories/59,Panecillo de queso 18%,1 ud. (80 g),0.35 € /ud.,Anadir al carro,0.35,ud.,1 ud.,1,ud.
5985,"4 Panes chapata de cristal masa madre. sin aditivos y con aceite de oliva
4 ud. x 70 g
1.00 € /pack
Anadir al carro",https://tienda.mercadona.es/categories/59,4 Panes chapata de cristal masa madre. sin aditivos y con aceite de oliva,4 ud. x 70 g,1.00 € /pack,Anadir al carro,1.00,pack,4 ud.,4,ud.
5986,"Pan mini semillas
1 ud. (90 g)
0.25 € /ud.
Anadir al carro",https://tienda.mercadona.es/categories/59,Pan mini semillas,1 ud. (90 g),0.25 € /ud.,Anadir al carro,0.25,ud.,1 ud.,1,ud.
5987,"5 Barras de pan 51% integral
5 ud. x 125 g
1.00 € /pack
Anadir al carro",https://tienda.mercadona.es/categories/59,5 Barras de pan 51% integral,5 ud. x 125 g,1.00 € /pack,Anadir al carro,1.00,pack,5 ud.,5,ud.
5988,"Panecillo harina integral 50% de trigo sin sal anadida
1 ud. (80 g)
0.20 € /ud.
Anadir al carro",https://tienda.mercadona.es/categories/59,Panecillo harina integral 50% de trigo sin sal anadida,1 ud. (80 g),0.20 € /ud.,Anadir al carro,0.20,ud.,1 ud.,1,ud.
5989,"6 Panes de leche 3%
6 ud. x 80 g
1.30 € /pack
Anadir al carro",https://tienda.mercadona.es/categories/59,6 Panes de leche 3%,6 ud. x 80 g,1.30 € /pack,Anadir al carro,1.30,pack,6 ud.,6,ud.
5990,"6 Panes pulguitas sin aditivos
6 ud. x 40 g
0.78 € /pack
Anadir al carro",https://tienda.mercadona.es/categories/59,6 Panes pulguitas sin aditivos,6 ud. x 40 g,0.78 € /pack,Anadir al carro,0.78,pack,6 ud.,6,ud.
5991,"Panecillo de ajo 1.2%
1 ud. (26 g)
0.22 € /ud.
Anadir al carro",https://tienda.mercadona.es/categories/59,Panecillo de ajo 1.2%,1 ud. (26 g),0.22 € /ud.,Anadir al carro,0.22,ud.,1 ud.,1,ud.
5992,"Panecillo campeon del mundo
1 ud. (80 g)
0.25 € /ud.
Anadir al carro",https://tienda.mercadona.es/categories/59,Panecillo campeon del mundo,1 ud. (80 g),0.25 € /ud.,Anadir al carro,0.25,ud.,1 ud.,1,ud.
5993,"Panecillo de trigo integral 30%
1 ud. (70 g)
0.19 € /ud.
Anadir al carro",https://tienda.mercadona.es/categories/59,Panecillo de trigo integral 30%,1 ud. (70 g),0.19 € /ud.,Anadir al carro,0.19,ud.,1 ud.,1,ud.
5994,"6 Panes de centeno 51%
6 ud. x 78 g
1.30 € /pack
Anadir al carro",https://tienda.mercadona.es/categories/59,6 Panes de centeno 51%,6 ud. x 78 g,1.30 € /pack,Anadir al carro,1.30,pack,6 ud.,6,ud.
5995,"11 Panecillos
11 ud. x 45 g
1.00 € /pack
Anadir al carro",https://tienda.mercadona.es/categories/59,11 Panecillos,11 ud. x 45 g,1.00 € /pack,Anadir al carro,1.00,pack,11 ud.,11,ud.
5996,"Panecillo
1 ud. (45 g)
0.10 € /ud.
Anadir al carro",https://tienda.mercadona.es/categories/59,Panecillo,1 ud. (45 g),0.10 € /ud.,Anadir al carro,0.10,ud.,1 ud.,1,ud.
5997,"Pan Viena
1 ud. (80 g)
0.25 € /ud.
Anadir al carro",https://tienda.mercadona.es/categories/59,Pan Viena,1 ud. (80 g),0.25 € /ud.,Anadir al carro,0.25,ud.,1 ud.,1,ud.
5998,"3 Panes molletes
3 ud. x 105 g
1.00 € /pack
Anadir al carro",https://tienda.mercadona.es/categories/59,3 Panes molletes,3 ud. x 105 g,1.00 € /pack,Anadir al carro,1.00,pack,3 ud.,3,ud.
5999,"6 Panecillos integrales 100%
6 ud. x 45 g
0.80 € /pack
Anadir al carro",https://tienda.mercadona.es/categories/59,6 Panecillos integrales 100%,6 ud. x 45 g,0.80 € /pack,Anadir al carro,0.80,pack,6 ud.,6,ud.
6000,"Pan mono rebanado
1 ud. (500 g)
1.35 € /ud.
Anadir al carro",https://tienda.mercadona.es/categories/59,Pan mono rebanado,1 ud. (500 g),1.35 € /ud.,Anadir al carro,1.35,ud.,1 ud.,1,ud.
6001,"Pan bregado rebanado
1 ud. (500 g)
1.50 € /ud.
Anadir al carro",https://tienda.mercadona.es/categories/59,Pan bregado rebanado,1 ud. (500 g),1.50 € /ud.,Anadir al carro,1.50,ud.,1 ud.,1,ud.
6002,"Pan campeon del mundo rebanado
1 ud. (750 g)
1.89 € /ud.
Anadir al carro",https://tienda.mercadona.es/categories/59,Pan campeon del mundo rebanado,1 ud. (750 g),1.89 € /ud.,Anadir al carro,1.89,ud.,1 ud.,1,ud.
6003,"Pan integral 100% rebanado
1 ud. (350 g)
1.60 € /ud.
Anadir al carro",https://tienda.mercadona.es/categories/59,Pan integral 100% rebanado,1 ud. (350 g),1.60 € /ud.,Anadir al carro,1.60,ud.,1 ud.,1,ud.
6004,"Pan de trigo espelta 100% rebanado
1 ud. (270 g)
1.25 € /ud.
Anadir al carro",https://tienda.mercadona.es/categories/59,Pan de trigo espelta 100% rebanado,1 ud. (270 g),1.25 € /ud.,Anadir al carro,1.25,ud.,1 ud.,1,ud.
6005,"Pan de nueces 8.5% rebanado
1 ud. (350 g)
1.50 € /ud.
Anadir al carro",https://tienda.mercadona.es/categories/59,Pan de nueces 8.5% rebanado,1 ud. (350 g),1.50 € /ud.,Anadir al carro,1.50,ud.,1 ud.,1,ud.
6006,"Barra pan de pueblo rebanada
1 ud. (800 g)
1.15 € /ud.
Anadir al carro",https://tienda.mercadona.es/categories/59,Barra pan de pueblo rebanada,1 ud. (800 g),1.15 € /ud.,Anadir al carro,1.15,ud.,1 ud.,1,ud.
6007,"3 Barras de pan rebanadas
3 ud. (750 g)
1.10 € /ud.
Anadir al carro",https://tienda.mercadona.es/categories/59,3 Barras de pan rebanadas,3 ud. (750 g),1.10 € /ud.,Anadir al carro,1.10,ud.,3 ud.,3,ud.
6008,"Barra de pan rebanada
1 ud. (250 g)
0.45 € /ud.
Anadir al carro",https://tienda.mercadona.es/categories/59,Barra de pan rebanada,1 ud. (250 g),0.45 € /ud.,Anadir al carro,0.45,ud.,1 ud.,1,ud.
6009,"3 Barras de pan aceite de oliva rebanadas
3 ud. (600 g)
1.30 € /ud.
Anadir al carro",https://tienda.mercadona.es/categories/59,3 Barras de pan aceite de oliva rebanadas,3 ud. (600 g),1.30 € /ud.,Anadir al carro,1.30,ud.,3 ud.,3,ud.
6010,"Barra pan de aceite de oliva rebanada
1 ud. (200 g)
0.44 € /ud.
Anadir al carro",https://tienda.mercadona.es/categories/59,Barra pan de aceite de oliva rebanada,1 ud. (200 g),0.44 € /ud.,Anadir al carro,0.44,ud.,1 ud.,1,ud.
6011,"Barra de pan 41% integral rebanada
1 ud. (210 g)
0.43 € /ud.
Anadir al carro",https://tienda.mercadona.es/categories/59,Barra de pan 41% integral rebanada,1 ud. (210 g),0.43 € /ud.,Anadir al carro,0.43,ud.,1 ud.,1,ud.
6012,"Barra de pan rustica rebanada
1 ud. (250 g)
0.45 € /ud.
Anadir al carro",https://tienda.mercadona.es/categories/59,Barra de pan rustica rebanada,1 ud. (250 g),0.45 € /ud.,Anadir al carro,0.45,ud.,1 ud.,1,ud.
6013,"Barra de pan campesina masa madre rebanada
1 ud. (250 g)
0.55 € /ud.
Anadir al carro",https://tienda.mercadona.es/categories/59,Barra de pan campesina masa madre rebanada,1 ud. (250 g),0.55 € /ud.,Anadir al carro,0.55,ud.,1 ud.,1,ud.
6014,"Barra de pan sin sal anadida rebanada
1 ud. (210 g)
0.53 € /ud.
Anadir al carro",https://tienda.mercadona.es/categories/59,Barra de pan sin sal anadida rebanada,1 ud. (210 g),0.53 € /ud.,Anadir al carro,0.53,ud.,1 ud.,1,ud.
6015,"Barra de pan picos rebanado
1 ud. (400 g)
0.77 € /ud.
Anadir al carro",https://tienda.mercadona.es/categories/59,Barra de pan picos rebanado,1 ud. (400 g),0.77 € /ud.,Anadir al carro,0.77,ud.,1 ud.,1,ud.
6016,"Pan Broa de maiz 24% rebanado
1 ud. (500 g)
1.40 € /ud.
Anadir al carro",https://tienda.mercadona.es/categories/59,Pan Broa de maiz 24% rebanado,1 ud. (500 g),1.40 € /ud.,Anadir al carro,1.40,ud.,1 ud.,1,ud.
6017,"Pan con semillas 12.5% rebanado
1 ud. (360 g)
1.50 € /ud.
Anadir al carro",https://tienda.mercadona.es/categories/59,Pan con semillas 12.5% rebanado,1 ud. (360 g),1.50 € /ud.,Anadir al carro,1.50,ud.,1 ud.,1,ud.
