,precio,precio_rel,producto,link,Q,precio_medida,medida,Q_medida
2073,2.99,2.99 /l,Vermut Carrefour Monte Esquinza rojo 1 l.,https://www.carrefour.es/supermercado/bebidas/cat20003/c?offset=504, 1 l.,2.99,l,1.0
2074,4.99,4.99 /ud,Cuatro Rayas Blanco 2020,https://www.carrefour.es/supermercado/bebidas/cat20003/c?offset=504,,4.99,ud,1.0
2075,2.4,3.43 /l,Sidra De Nuestra Tierra D.O.P. Asturias natural 70 cl.,https://www.carrefour.es/supermercado/bebidas/cat20003/c?offset=504, 70 cl.,3.43,l,0.7
2076,3.35,3.35 /ud,Vino D.O. Ribera del Duero tinto Altos de Tamaron 75 cl.,https://www.carrefour.es/supermercado/bebidas/cat20003/c?offset=504, 75 cl.,3.35,ud,1.0
2077,2.39,2.39 /l,Bebida de fruta arandanos y uva Granini sin azucares anadidos botella 1 l.,https://www.carrefour.es/supermercado/bebidas/cat20003/c?offset=504, 1 l.,2.39,l,1.0
2078,2.39,2.39 /l,Bebida de fruta naranja Granini sin azucar anadido botella 1 l. ,https://www.carrefour.es/supermercado/bebidas/cat20003/c?offset=504, 1 l. ,2.39,l,1.0
2079,3.39,3.39 /ud,Vino Lambrusco rosado Amabile dell' Emilia Collezione Amore Bautista Marti 75 cl.,https://www.carrefour.es/supermercado/bebidas/cat20003/c?offset=504, 75 cl.,3.39,ud,1.0
2080,0.66,2 /l,Cerveza artesana Carrefour Sensation Reserva botella 33 cl.,https://www.carrefour.es/supermercado/bebidas/cat20003/c?offset=504, 33 cl.,2.0,l,0.33
2081,8.08,2.04 /l,Cerveza Shandy Cruzcampo sabor limon pack 12 latas 33 cl.,https://www.carrefour.es/supermercado/bebidas/cat20003/c?offset=504, 12 latas 33 cl.,2.04,l,3.961
2082,9.95,9.95 /ud,El Perro Verde Blanco 2020,https://www.carrefour.es/supermercado/bebidas/cat20003/c?offset=504,,9.95,ud,1.0
2083,1.76,1.17 /l,Cerveza Carrefour Shandy con limon pack de 6 botellas de 25 cl.,https://www.carrefour.es/supermercado/bebidas/cat20003/c?offset=504, 6 botellas de 25 cl.,1.17,l,1.504
2084,2.15,2.15 /l,Zumo de melocoton y uva ecologico Carrefour Bio brik 1 l.,https://www.carrefour.es/supermercado/bebidas/cat20003/c?offset=504, 1 l.,2.15,l,1.0
2085,2.09,2.09 /ud,Vino D.O. Montilla-Moriles fino Deley 75 cl.,https://www.carrefour.es/supermercado/bebidas/cat20003/c?offset=504, 75 cl.,2.09,ud,1.0
2086,0.74,2.96 /l,Schweppes de limon lata 25 cl.,https://www.carrefour.es/supermercado/bebidas/cat20003/c?offset=504, 25 cl.,2.96,l,0.25
2087,0.99,3 /l,Cerveza San Miguel Manila botella 33 cl.,https://www.carrefour.es/supermercado/bebidas/cat20003/c?offset=504, 33 cl.,3.0,l,0.33
2088,1.55,1.29 /l,Zumo multifrutas Carrefour pack de 6 briks de 20 cl.,https://www.carrefour.es/supermercado/bebidas/cat20003/c?offset=528, 6 briks de 20 cl.,1.29,l,1.202
2089,3.49,3.49 /ud,Vino portugues rosado joven Mateus 75 cl.,https://www.carrefour.es/supermercado/bebidas/cat20003/c?offset=528, 75 cl.,3.49,ud,1.0
2090,1.32,0.66 /l,7UP Free de lima-limon sin azucar botella 2 l.,https://www.carrefour.es/supermercado/bebidas/cat20003/c?offset=528, 2 l.,0.66,l,2.0
2091,0.6,0.60 /l,Zumo de pina y uva Zumosol brik 1 l.,https://www.carrefour.es/supermercado/bebidas/cat20003/c?offset=528, 1 l.,0.6,l,1.0
2092,14.6,14.60 /ud,Estuche 2 Bot. 75 Cl. + 1 Bot. 37.5 Cl. Marques De Caceres Tinto Crianza 2018,https://www.carrefour.es/supermercado/bebidas/cat20003/c?offset=528, 2 Bot. 75 Cl. + 1 Bot. 37.5 Cl. Marques De Caceres Tinto Crianza 2018,14.6,ud,1.0
2093,12.35,17.64 /l,Whisky Dewar's White Label escoces 70 cl.,https://www.carrefour.es/supermercado/bebidas/cat20003/c?offset=528, 70 cl.,17.64,l,0.7
2094,1.8,1.80 /l,Ginger Ale Schweppes botella 1 l.,https://www.carrefour.es/supermercado/bebidas/cat20003/c?offset=528, 1 l.,1.8,l,1.0
2095,1.06,0.88 /l,Zumo tropical Don Simon pack de 6 briks de 20 cl.,https://www.carrefour.es/supermercado/bebidas/cat20003/c?offset=528, 6 briks de 20 cl.,0.88,l,1.205
2096,13.99,19.99 /l,Ron anejo Brugal 70 cl.,https://www.carrefour.es/supermercado/bebidas/cat20003/c?offset=528, 70 cl.,19.99,l,0.7
2097,17.95,17.95 /l,Vodka Absolut 1 l.,https://www.carrefour.es/supermercado/bebidas/cat20003/c?offset=528, 1 l.,17.95,l,1.0
2098,1.9,1.90 /l,Vermut Forteni blanco 1 l.,https://www.carrefour.es/supermercado/bebidas/cat20003/c?offset=528, 1 l.,1.9,l,1.0
2099,1.87,1.87 /l,Coca Cola zero azucar botella 1 l.,https://www.carrefour.es/supermercado/bebidas/cat20003/c?offset=528, 1 l.,1.87,l,1.0
2100,16.95,16.95 /ud,Estuche 2 Bot. 75 Cl. + 1 Bot. 50 Cl. Coto De Imaz Tinto Reserva 2015,https://www.carrefour.es/supermercado/bebidas/cat20003/c?offset=528, 2 Bot. 75 Cl. + 1 Bot. 50 Cl. Coto De Imaz Tinto Reserva 2015,16.95,ud,1.0
2101,0.75,3 /l,Agua mineral con gas Perrier natural lata 25 cl.,https://www.carrefour.es/supermercado/bebidas/cat20003/c?offset=528, 25 cl.,3.0,l,0.25
2102,11.98,11.98 /ud,Estuche 2 Bot. Freixenet Cordon Negro Cava,https://www.carrefour.es/supermercado/bebidas/cat20003/c?offset=528, 2 Bot. Freixenet Cordon Negro Cava,11.98,ud,1.0
2103,2.55,1.27 /l,Nectar de melocoton Juver sin azucar anadido brik 2 l.,https://www.carrefour.es/supermercado/bebidas/cat20003/c?offset=528, 2 l.,1.27,l,2.008
2104,0.61,1.85 /l,Cerveza Amstel 0.0 sin alcohol pura malta lata 33 cl.,https://www.carrefour.es/supermercado/bebidas/cat20003/c?offset=528, 33 cl.,1.85,l,0.33
2105,2.49,2.49 /ud,Cava Castell del Llac brut 75 cl.,https://www.carrefour.es/supermercado/bebidas/cat20003/c?offset=528, 75 cl.,2.49,ud,1.0
2106,3.59,2.39 /l,Cerveza Budweiser Lager pack de 6 botellas de 25 cl.,https://www.carrefour.es/supermercado/bebidas/cat20003/c?offset=528, 6 botellas de 25 cl.,2.39,l,1.502
2107,0.99,1.98 /l,Burn bebida energetica lata 50 cl.,https://www.carrefour.es/supermercado/bebidas/cat20003/c?offset=528, 50 cl.,1.98,l,0.5
2108,2.99,2.99 /ud,Vino tinto roble tempranillo Enrique I D.O. Ribera de Duero 75 cl.,https://www.carrefour.es/supermercado/bebidas/cat20003/c?offset=528, 75 cl.,2.99,ud,1.0
2109,2.09,2.09 /l,Mosto Greip blanco botella 1 l.,https://www.carrefour.es/supermercado/bebidas/cat20003/c?offset=528, 1 l.,2.09,l,1.0
2110,2.39,2.39 /ud,Vino D.O Valencia blanco Amatista 75 cl.,https://www.carrefour.es/supermercado/bebidas/cat20003/c?offset=552, 75 cl.,2.39,ud,1.0
2111,2.09,2.09 /l,Mosto Greip tinto botella 1 l.,https://www.carrefour.es/supermercado/bebidas/cat20003/c?offset=552, 1 l.,2.09,l,1.0
2112,2.49,2.07 /l,Zumo de naranja sin azucar anadido Juver-Disfruta pack de 6 brik de 20 cl.,https://www.carrefour.es/supermercado/bebidas/cat20003/c?offset=552, 6 brik de 20 cl.,2.07,l,1.203
2113,13.25,18.93 /l,Licor limoncello Villa Massa 70 cl.,https://www.carrefour.es/supermercado/bebidas/cat20003/c?offset=552, 70 cl.,18.93,l,0.7
2114,2.95,0.86 /l,Pepsi Max zero cafeina pack de 2 botellas de 1.75 cl.,https://www.carrefour.es/supermercado/bebidas/cat20003/c?offset=552, 2 botellas de 1.75 cl.,0.86,l,3.43
2115,7.69,10.99 /l,Anis La Castellana dulce 70 cl.,https://www.carrefour.es/supermercado/bebidas/cat20003/c?offset=552, 70 cl.,10.99,l,0.7
2116,1.31,2.62 /l,Aquarius sabor naranja botella 50 cl.,https://www.carrefour.es/supermercado/bebidas/cat20003/c?offset=552, 50 cl.,2.62,l,0.5
2117,3.85,3.85 /ud,El Coto Blanco 2020,https://www.carrefour.es/supermercado/bebidas/cat20003/c?offset=552,,3.85,ud,1.0
2118,0.45,0.90 /l,Bebida Isotonica Carrefour Blue botella 50 cl.,https://www.carrefour.es/supermercado/bebidas/cat20003/c?offset=552, 50 cl.,0.9,l,0.5
2119,2.05,2.93 /l,Licor de manzana Loch Castle sin alcohol 70 cl.,https://www.carrefour.es/supermercado/bebidas/cat20003/c?offset=552, 70 cl.,2.93,l,0.7
2120,1.06,0.53 /l,Zumo de multivitaminas Don Simon 2 l.,https://www.carrefour.es/supermercado/bebidas/cat20003/c?offset=552, 2 l.,0.53,l,2.0
2121,2.55,1.27 /l,Zumo de 10 frutas y vitaminas sin azucar anadido Juver- Disfruta brik 2 l.,https://www.carrefour.es/supermercado/bebidas/cat20003/c?offset=552, 10 frutas y vitaminas sin azucar anadido Juver- Disfruta brik 2 l.,1.27,l,2.008
2122,4.55,2.27 /l,Powerade Ice Storm pack 4 botellas 50 cl.,https://www.carrefour.es/supermercado/bebidas/cat20003/c?offset=552, 4 botellas 50 cl.,2.27,l,2.004
2123,0.99,3 /l,Cerveza 1906 Red Vintage La Colorada lata 33 cl.,https://www.carrefour.es/supermercado/bebidas/cat20003/c?offset=552, 1906 Red Vintage La Colorada lata 33 cl.,3.0,l,0.33
2124,5.95,7.93 /l,Kombucha frutos rojos ecologica Komvida sin gluten 750 ml.,https://www.carrefour.es/supermercado/bebidas/cat20003/c?offset=552, 750 ml.,7.93,l,0.75
2125,1.35,2.70 /l,Cerveza Franziskaner Weissbier Kristallklar botella 50 cl.,https://www.carrefour.es/supermercado/bebidas/cat20003/c?offset=552, 50 cl.,2.7,l,0.5
2126,10.75,15.36 /l,Brandy de Jerez Magno solera reserva 70 cl.,https://www.carrefour.es/supermercado/bebidas/cat20003/c?offset=552, 70 cl.,15.36,l,0.7
2127,4.25,2.83 /l,Cerveza negra Estrella Galicia 0.0 alcohol pack 6 botellas 25 cl.,https://www.carrefour.es/supermercado/bebidas/cat20003/c?offset=552, 6 botellas 25 cl.,2.83,l,1.502
2128,1.65,1.65 /l,Nectar de naranja Minute Maid sin azucares anadidos botella 1 l.,https://www.carrefour.es/supermercado/bebidas/cat20003/c?offset=552, 1 l.,1.65,l,1.0
2129,1.99,6.03 /l,Cerveza Alhambra lager botella 33 cl.,https://www.carrefour.es/supermercado/bebidas/cat20003/c?offset=552, 33 cl.,6.03,l,0.33
2130,0.99,3 /l,Cerveza Ak Damm botella 33 cl.,https://www.carrefour.es/supermercado/bebidas/cat20003/c?offset=552, 33 cl.,3.0,l,0.33
2131,5.55,3.70 /l,Vermut Zarro rojo de grifo 1.5 l.,https://www.carrefour.es/supermercado/bebidas/cat20003/c?offset=552,,3.7,l,1.5
2132,7.8,11.14 /l,Ron Negrita 70 cl.,https://www.carrefour.es/supermercado/bebidas/cat20003/c?offset=552, 70 cl.,11.14,l,0.7
2133,1.75,1.17 /l,Sangria Don Simon botella 1.5 l.,https://www.carrefour.es/supermercado/bebidas/cat20003/c?offset=576,,1.17,l,1.496
2134,2.09,2.79 /l,Zumo de pina y mango Carrefour Seleccion exprimido botella 75 cl.,https://www.carrefour.es/supermercado/bebidas/cat20003/c?offset=576, 75 cl.,2.79,l,0.749
2135,1.69,4.22 /l,Cerveza Desperados strawberry margarita botella 40 cl.,https://www.carrefour.es/supermercado/bebidas/cat20003/c?offset=576, 40 cl.,4.22,l,0.4
2136,21.4,12.23 /l,Whisky Cutty Sark escoces 1.75 l.,https://www.carrefour.es/supermercado/bebidas/cat20003/c?offset=576,,12.23,l,1.75
2137,0.63,2.52 /l,Cerveza Damm Malquerida roja fresca botella 25 cl.,https://www.carrefour.es/supermercado/bebidas/cat20003/c?offset=576, 25 cl.,2.52,l,0.25
2138,2.39,2.39 /l,Nectar de pomelo rosa Granini Seleccion botella 1 l.,https://www.carrefour.es/supermercado/bebidas/cat20003/c?offset=576, 1 l.,2.39,l,1.0
2139,0.63,0.63 /l,Nectar de pina Carrefour brik 1 l.,https://www.carrefour.es/supermercado/bebidas/cat20003/c?offset=576, 1 l.,0.63,l,1.0
2140,0.7,1.40 /l,Cerveza Mahou Clasica lata 50 cl.,https://www.carrefour.es/supermercado/bebidas/cat20003/c?offset=576, 50 cl.,1.4,l,0.5
2141,14.89,21.27 /l,Santa Teresa Ron Reserva,https://www.carrefour.es/supermercado/bebidas/cat20003/c?offset=576,,21.27,l,0.7
2142,1.1,0.73 /l,Tinto de verano con limon sin alcohol Don Simon botella 1.5 l.,https://www.carrefour.es/supermercado/bebidas/cat20003/c?offset=576,,0.73,l,1.507
2143,11.98,11.98 /ud,Estuche 2 Bot. Freixenet Cordon Negro Brut,https://www.carrefour.es/supermercado/bebidas/cat20003/c?offset=576, 2 Bot. Freixenet Cordon Negro Brut,11.98,ud,1.0
2144,0.99,3 /l,Cerveza Daura sin gluten botella 33 cl.,https://www.carrefour.es/supermercado/bebidas/cat20003/c?offset=576, 33 cl.,3.0,l,0.33
2145,1.37,1.10 /l,Agua mineral Font Vella Sensacion con zumo de manzana 1.25 l.,https://www.carrefour.es/supermercado/bebidas/cat20003/c?offset=576,,1.1,l,1.245
2146,8.35,8.35 /ud,Azpilicueta Tinto Crianza 2017,https://www.carrefour.es/supermercado/bebidas/cat20003/c?offset=576,,8.35,ud,1.0
2147,3.69,3.69 /ud,Vino blanco moscatel blanco Caldirola 75 cl.,https://www.carrefour.es/supermercado/bebidas/cat20003/c?offset=576, 75 cl.,3.69,ud,1.0
2148,12.59,17.99 /l,Whisky Johnnie Walker Red Label escoces 70 cl.,https://www.carrefour.es/supermercado/bebidas/cat20003/c?offset=576, 70 cl.,17.99,l,0.7
2149,36.99,36.99 /ud,Estuche 2Bot. Matarromera2017 + 1 Bot. Melior 2018 Tinto,https://www.carrefour.es/supermercado/bebidas/cat20003/c?offset=576, 1 Bot. Melior 2018 Tinto,36.99,ud,1.0
2150,3.65,3.65 /ud,Estola Reserva 2017,https://www.carrefour.es/supermercado/bebidas/cat20003/c?offset=576,,3.65,ud,1.0
2151,1.76,1.76 /l,Vino tinto de mesa tempranillo Elegido botella 1 l.,https://www.carrefour.es/supermercado/bebidas/cat20003/c?offset=576, 1 l.,1.76,l,1.0
2152,10.0,10 /l,Pacharan Zoco 1 l.,https://www.carrefour.es/supermercado/bebidas/cat20003/c?offset=576, 1 l.,10.0,l,1.0
2153,2.39,2.39 /l,Nectar de pera Granini Seleccion botella 1 l.,https://www.carrefour.es/supermercado/bebidas/cat20003/c?offset=576, 1 l.,2.39,l,1.0
2154,1.99,2.65 /l,Zumo de naranja sin pulpa ecologico Carrefour 75 cl.,https://www.carrefour.es/supermercado/bebidas/cat20003/c?offset=576, 75 cl.,2.65,l,0.751
2155,5.6,8 /l,Brandy de jerez solera Altorreal 70 cl.,https://www.carrefour.es/supermercado/bebidas/cat20003/c?offset=600, 70 cl.,8.0,l,0.7
2156,0.99,1.65 /l,Vino tinto Carrefour pack de 3 briks de 20 cl.,https://www.carrefour.es/supermercado/bebidas/cat20003/c?offset=600, 3 briks de 20 cl.,1.65,l,0.6
2157,5.79,7.72 /l,Komvida Kombucha jengibre y limon ecologico sin gluten 75 cl.,https://www.carrefour.es/supermercado/bebidas/cat20003/c?offset=600, 75 cl.,7.72,l,0.75
2158,2.39,2.39 /l,Bebida de fruta multifrutas sin azucares anadidos Granini 1 l.,https://www.carrefour.es/supermercado/bebidas/cat20003/c?offset=600, 1 l.,2.39,l,1.0
2159,6.75,6.75 /ud,Enate Tinto 2018,https://www.carrefour.es/supermercado/bebidas/cat20003/c?offset=600,,6.75,ud,1.0
2160,1.65,8.25 /l,Tonica Schweppes con toque de lima premium botella 20 cl.,https://www.carrefour.es/supermercado/bebidas/cat20003/c?offset=600, 20 cl.,8.25,l,0.2
2161,15.49,15.49 /ud,Protos Tinto Crianza 2017,https://www.carrefour.es/supermercado/bebidas/cat20003/c?offset=600,,15.49,ud,1.0
2162,1.18,1.18 /ud,Vino D.O. Valdepenas blanco crianza Tres Reinos 75 cl.,https://www.carrefour.es/supermercado/bebidas/cat20003/c?offset=600, 75 cl.,1.18,ud,1.0
2163,0.73,2.21 /l,Refresco Antarctica con gas sabor guarana lata 33 cl.,https://www.carrefour.es/supermercado/bebidas/cat20003/c?offset=600, 33 cl.,2.21,l,0.33
2164,11.95,11.95 /l,Yzaguirre Vermouth Con Crianza,https://www.carrefour.es/supermercado/bebidas/cat20003/c?offset=600,,11.95,l,1.0
2165,7.95,7.95 /ud,Vino dulce pedro ximenez De Nuestra Tierra D.O. Montilla-Moriles75 cl.,https://www.carrefour.es/supermercado/bebidas/cat20003/c?offset=600,,7.95,ud,1.0
2166,1.05,1.05 /l,Bebida de guayaba Carrefour sin azucar anadido brik 1 l.,https://www.carrefour.es/supermercado/bebidas/cat20003/c?offset=600, 1 l.,1.05,l,1.0
2167,3.79,3.79 /ud,Vino D.O. Rioja tinto Campo Viejo 75 cl.,https://www.carrefour.es/supermercado/bebidas/cat20003/c?offset=600, 75 cl.,3.79,ud,1.0
2168,1.06,1.06 /l,Gaseosa La Casera con toque de limon cero azucares botella 1 l.,https://www.carrefour.es/supermercado/bebidas/cat20003/c?offset=600, 1 l.,1.06,l,1.0
2169,12.9,12.90 /ud,Charles De Courance Champagne,https://www.carrefour.es/supermercado/bebidas/cat20003/c?offset=600,,12.9,ud,1.0
2170,0.44,0.59 /l,Agua Mineral modificada,https://www.carrefour.es/supermercado/bebidas/cat20003/c?offset=600,,0.59,l,0.746
2171,0.76,2.30 /l,Cerveza artesana Carrefour Sensation Rubia sin filtrar botella 33 cl.,https://www.carrefour.es/supermercado/bebidas/cat20003/c?offset=600, 33 cl.,2.3,l,0.33
2172,1.62,1.08 /l,Trina de manzana sin gas zero botella 1.5 l.,https://www.carrefour.es/supermercado/bebidas/cat20003/c?offset=600,,1.08,l,1.5
2173,1.44,1.44 /l,Tonica Nordic Mist botella 1 l.,https://www.carrefour.es/supermercado/bebidas/cat20003/c?offset=600, 1 l.,1.44,l,1.0
2174,3.25,3.25 /ud,Vino blanco verdejo Cuvi D.O. Rueda 75 cl.,https://www.carrefour.es/supermercado/bebidas/cat20003/c?offset=600, 75 cl.,3.25,ud,1.0
2175,0.76,2.30 /l,Cerveza tostada San Miguel Selecta lata 33 cl.,https://www.carrefour.es/supermercado/bebidas/cat20003/c?offset=600, 33 cl.,2.3,l,0.33
2176,11.25,16.07 /l,Brandy Torres Reserva Imperial 10 anos,https://www.carrefour.es/supermercado/bebidas/cat20003/c?offset=600, 10 anos,16.07,l,0.7
2177,1.68,1.68 /l,Limonada Carrefour botella 1 l.,https://www.carrefour.es/supermercado/bebidas/cat20003/c?offset=624, 1 l.,1.68,l,1.0
2178,2.55,2.83 /l,Zumo de naranja Tropicana exprimido sin pulpa botella 90 cl.,https://www.carrefour.es/supermercado/bebidas/cat20003/c?offset=624, 90 cl.,2.83,l,0.901
2179,1.7,8.50 /l,Tonica Schweppes con hibiscus premium botella 20 cl.,https://www.carrefour.es/supermercado/bebidas/cat20003/c?offset=624, 20 cl.,8.5,l,0.2
2180,0.79,0.53 /l,Refresco de naranja Carrefour sin gas botella 1.5 l.,https://www.carrefour.es/supermercado/bebidas/cat20003/c?offset=624,,0.53,l,1.491
2181,0.61,0.61 /l,Nectar de naranja sin azucar anadida Carrefour 1 l.,https://www.carrefour.es/supermercado/bebidas/cat20003/c?offset=624, 1 l.,0.61,l,1.0
2182,0.9,1.20 /l,Vino tinto joven Vendimia Seleccionada Fuentevina Tirilla 75 cl.,https://www.carrefour.es/supermercado/bebidas/cat20003/c?offset=624, 75 cl.,1.2,l,0.75
2183,0.99,3 /l,Cerveza tostada Amstel Oro botella 33 cl.,https://www.carrefour.es/supermercado/bebidas/cat20003/c?offset=624, 33 cl.,3.0,l,0.33
2184,2.09,2.09 /ud,Vino D.O. Montilla-Moriles fino La Sultana 70 cl.,https://www.carrefour.es/supermercado/bebidas/cat20003/c?offset=624, 70 cl.,2.09,ud,1.0
2185,2.55,2.83 /l,Zumo de naranja Tropicana exprimido con pulpa botella 90 cl.,https://www.carrefour.es/supermercado/bebidas/cat20003/c?offset=624, 90 cl.,2.83,l,0.901
2186,3.6,0.91 /l,Cerveza Carrefour Pils pack de 12 latas de 33 cl.,https://www.carrefour.es/supermercado/bebidas/cat20003/c?offset=624, 12 latas de 33 cl.,0.91,l,3.956
2187,1.2,3.64 /l,Cerveza artesana Carrefour Sensation tipo IPA botella 33 cl.,https://www.carrefour.es/supermercado/bebidas/cat20003/c?offset=624, 33 cl.,3.64,l,0.33
2188,10.99,10.99 /l,Ron Negrita anejo 1 l.,https://www.carrefour.es/supermercado/bebidas/cat20003/c?offset=624, 1 l.,10.99,l,1.0
2189,0.54,1.64 /l,Gaseosa La Casera limon 0% calorias y azucares lata 33 cl.,https://www.carrefour.es/supermercado/bebidas/cat20003/c?offset=624, 33 cl.,1.64,l,0.329
2190,1.99,1.99 /ud,Vino blanco verdejo 3 Reinos D.O. Rueda 75 cl.,https://www.carrefour.es/supermercado/bebidas/cat20003/c?offset=624, 3 Reinos D.O. Rueda 75 cl.,1.99,ud,1.0
2191,18.7,18.70 /l,Ginebra Beefeater 1 l.,https://www.carrefour.es/supermercado/bebidas/cat20003/c?offset=624, 1 l.,18.7,l,1.0
2192,14.49,20.70 /l,Ron Legendario 70 cl.,https://www.carrefour.es/supermercado/bebidas/cat20003/c?offset=624, 70 cl.,20.7,l,0.7
2193,1.33,2.66 /l,Fanta de naranja botella 50 cl.,https://www.carrefour.es/supermercado/bebidas/cat20003/c?offset=624, 50 cl.,2.66,l,0.5
2194,1.8,1.80 /l,Schweppes de limon Zero botella 1 l.,https://www.carrefour.es/supermercado/bebidas/cat20003/c?offset=624, 1 l.,1.8,l,1.0
2195,23.49,15.66 /l,Whisky Ballantine's escoces 1.5 l.,https://www.carrefour.es/supermercado/bebidas/cat20003/c?offset=624,,15.66,l,1.5
2196,16.65,16.65 /l,Ron Cacique Anejo Superior 1 l.,https://www.carrefour.es/supermercado/bebidas/cat20003/c?offset=624, 1 l.,16.65,l,1.0
2197,4.05,8.10 /l,Licor limoncello Carrefour 50 cl.,https://www.carrefour.es/supermercado/bebidas/cat20003/c?offset=624, 50 cl.,8.1,l,0.5
2198,3.8,3.80 /ud,Vino blanco verdejo Faustino Rivero V.T.Castilla 75 cl.,https://www.carrefour.es/supermercado/bebidas/cat20003/c?offset=624, 75 cl.,3.8,ud,1.0
2199,4.49,4.49 /ud,Vinas Del Vero Cabernet Sauvignon-Merlot Tinto 2020,https://www.carrefour.es/supermercado/bebidas/cat20003/c?offset=648,,4.49,ud,1.0
2200,1.18,1.18 /l,Zumo multifrutas exprimido Carrefour brik de 1 l.,https://www.carrefour.es/supermercado/bebidas/cat20003/c?offset=648, 1 l.,1.18,l,1.0
2201,0.67,2.03 /l,Cerveza negra Bock Damm Munich lata 33 cl.,https://www.carrefour.es/supermercado/bebidas/cat20003/c?offset=648, 33 cl.,2.03,l,0.33
2202,21.0,21 /ud,Caja 4 Botellas (2 + 2) Cune + Glorioso Tinto Crianza,https://www.carrefour.es/supermercado/bebidas/cat20003/c?offset=648, 4 Botellas (2 + 2) Cune + Glorioso Tinto Crianza,21.0,ud,1.0
2203,1.89,1.51 /l,Zumo california Sunny Delight 1.25 l.,https://www.carrefour.es/supermercado/bebidas/cat20003/c?offset=648,,1.51,l,1.252
2204,1.26,3.82 /l,Cerveza artesana Carrefour Sensation Session IPA botella 33 cl.,https://www.carrefour.es/supermercado/bebidas/cat20003/c?offset=648, 33 cl.,3.82,l,0.33
2205,15.95,15.95 /ud,Mar De Frades Blanco 2020,https://www.carrefour.es/supermercado/bebidas/cat20003/c?offset=648,,15.95,ud,1.0
2206,3.19,3.19 /ud,Muyfina Manzanilla Criaderas Y Soleras,https://www.carrefour.es/supermercado/bebidas/cat20003/c?offset=648,,3.19,ud,1.0
2207,0.51,2.04 /l,Cerveza Damm Lemon con limon botella 25 cl.,https://www.carrefour.es/supermercado/bebidas/cat20003/c?offset=648, 25 cl.,2.04,l,0.25
2208,4.2,4.20 /ud,Vino tinto crianza Bardesano D.O.Ca. Rioja 75 cl.,https://www.carrefour.es/supermercado/bebidas/cat20003/c?offset=648, 75 cl.,4.2,ud,1.0
2209,2.65,1.77 /l,Cerveza Buckler 0.0 alcohol malta pack 6 botellas 25 cl.,https://www.carrefour.es/supermercado/bebidas/cat20003/c?offset=648, 6 botellas 25 cl.,1.77,l,1.497
2210,12.69,12.69 /l,Vodka Eristoff premium 1 l.,https://www.carrefour.es/supermercado/bebidas/cat20003/c?offset=648, 1 l.,12.69,l,1.0
2211,0.81,2.45 /l,Tinto de verano con limon La Casera lata 33 cl.,https://www.carrefour.es/supermercado/bebidas/cat20003/c?offset=648, 33 cl.,2.45,l,0.331
2212,7.0,7 /ud,Vino tinto crianza tempranillo Dehesas del Rey D.O. Ribera del Duero 75 cl.,https://www.carrefour.es/supermercado/bebidas/cat20003/c?offset=648, 75 cl.,7.0,ud,1.0
2213,1.29,1.08 /l,Zumo de fruta y leche Carrefour Tropical sin lactosa pack de 6 briks de 20 cl.,https://www.carrefour.es/supermercado/bebidas/cat20003/c?offset=648, 6 briks de 20 cl.,1.08,l,1.194
2214,5.35,5.35 /ud,Marques De Vizhoja Blanco 2020,https://www.carrefour.es/supermercado/bebidas/cat20003/c?offset=648,,5.35,ud,1.0
2215,4.79,6.84 /l,Whisky Westerly 70 cl.,https://www.carrefour.es/supermercado/bebidas/cat20003/c?offset=648, 70 cl.,6.84,l,0.7
2216,2.95,1.97 /l,Cerveza Mahou Mixta Shandy sabor limon pack de 6 botellas de 25 cl.,https://www.carrefour.es/supermercado/bebidas/cat20003/c?offset=648, 6 botellas de 25 cl.,1.97,l,1.497
2217,8.55,8.55 /ud,La Planta Tinto 2020,https://www.carrefour.es/supermercado/bebidas/cat20003/c?offset=648,,8.55,ud,1.0
2218,1.73,8.65 /l,Tonica Schweppes con pimienta rosa premium botella 20 cl.,https://www.carrefour.es/supermercado/bebidas/cat20003/c?offset=648, 20 cl.,8.65,l,0.2
2219,6.75,6.75 /ud,Freixenet Cordon Negro Gran Seleccion Brut,https://www.carrefour.es/supermercado/bebidas/cat20003/c?offset=648,,6.75,ud,1.0
2220,5.09,7.27 /l,Ron Yacare anejo 70 cl.,https://www.carrefour.es/supermercado/bebidas/cat20003/c?offset=648, 70 cl.,7.27,l,0.7
2221,5.69,8.13 /l,Licor de cafe Puntemino 70 cl.,https://www.carrefour.es/supermercado/bebidas/cat20003/c?offset=672, 70 cl.,8.13,l,0.7
2222,0.65,1.97 /l,Cerveza Buckler 0.0 alcohol malta lata 33 cl.,https://www.carrefour.es/supermercado/bebidas/cat20003/c?offset=672, 33 cl.,1.97,l,0.33
2223,1.46,1.17 /l,Font Vella La Limonada con hierbabuena sin gas zero azucares botella 1.25 l.,https://www.carrefour.es/supermercado/bebidas/cat20003/c?offset=672,,1.17,l,1.248
2224,14.95,14.95 /ud,Estuche 3 Bot. Paternina Tinto Reserva 2016,https://www.carrefour.es/supermercado/bebidas/cat20003/c?offset=672, 3 Bot. Paternina Tinto Reserva 2016,14.95,ud,1.0
